               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 117,            0.059861,              0.0727,                   0,             0.25884,             0.19577,             0.13561,            0.032393,            0.039307,            0.045579,                   0,           0.0077032,           0.0077032,           0.0077032
                 118,            0.074383,            0.069822,                   0,             0.25884,             0.19577,             0.13561,            0.032393,            0.039307,            0.045579,                   0,           0.0076834,           0.0076834,           0.0076834
                 119,            0.057762,            0.076097,                   0,             0.21381,             0.20106,             0.12955,            0.028557,            0.039272,            0.044027,                   0,           0.0076636,           0.0076636,           0.0076636
                 120,            0.051949,            0.061058,                   0,             0.21381,             0.20106,             0.12955,            0.028557,            0.039272,            0.044027,                   0,           0.0076438,           0.0076438,           0.0076438
                 121,            0.039043,            0.053318,                   0,             0.21381,             0.20106,             0.12955,            0.028557,            0.039272,            0.044027,                   0,            0.007624,            0.007624,            0.007624
                 122,            0.066431,            0.051108,                   0,             0.21381,             0.20106,             0.12955,            0.028557,            0.039272,            0.044027,                   0,           0.0076042,           0.0076042,           0.0076042
                 123,            0.072961,            0.069918,                   0,             0.24918,             0.19577,             0.12077,             0.02997,            0.039623,            0.043231,                   0,           0.0075844,           0.0075844,           0.0075844
                 124,            0.047389,            0.063082,                   0,             0.24918,             0.19577,             0.12077,             0.02997,            0.039623,            0.043231,                   0,           0.0075646,           0.0075646,           0.0075646
                 125,            0.056929,            0.062066,                   0,             0.24918,             0.19577,             0.12077,             0.02997,            0.039623,            0.043231,                   0,           0.0075448,           0.0075448,           0.0075448
                 126,            0.052635,            0.092271,                   0,             0.24918,             0.19577,             0.12077,             0.02997,            0.039623,            0.043231,                   0,            0.007525,            0.007525,            0.007525
                 127,            0.037832,            0.066064,                   0,             0.28985,             0.22222,             0.15084,            0.034611,             0.03923,            0.044048,                   0,           0.0075052,           0.0075052,           0.0075052
                 128,             0.06247,            0.081585,                   0,             0.28985,             0.22222,             0.15084,            0.034611,             0.03923,            0.044048,                   0,           0.0074854,           0.0074854,           0.0074854
                 129,            0.062818,            0.062261,                   0,             0.28985,             0.22222,             0.15084,            0.034611,             0.03923,            0.044048,                   0,           0.0074656,           0.0074656,           0.0074656
                 130,            0.048676,               0.069,                   0,             0.28985,             0.22222,             0.15084,            0.034611,             0.03923,            0.044048,                   0,           0.0074458,           0.0074458,           0.0074458
                 131,            0.046057,            0.058005,                   0,             0.27955,             0.18519,             0.14159,            0.031357,            0.038527,            0.043382,                   0,            0.007426,            0.007426,            0.007426
                 132,            0.060631,            0.071305,                   0,             0.27955,             0.18519,             0.14159,            0.031357,            0.038527,            0.043382,                   0,           0.0074062,           0.0074062,           0.0074062
                 133,            0.059127,            0.072864,                   0,             0.27955,             0.18519,             0.14159,            0.031357,            0.038527,            0.043382,                   0,           0.0073864,           0.0073864,           0.0073864
                 134,            0.062939,            0.072383,                   0,             0.27955,             0.18519,             0.14159,            0.031357,            0.038527,            0.043382,                   0,           0.0073666,           0.0073666,           0.0073666
                 135,             0.03829,            0.082505,                   0,             0.32171,             0.20635,             0.17317,            0.039352,            0.037655,             0.04363,                   0,           0.0073468,           0.0073468,           0.0073468
